First_Name,Last_Name,Age,Department_Region,Status,Salary,Email,Phone,Performance_Score,Remote_Work
Bob,Davis,25.0,DevOps-California,Active,59767.65,bob.davis@example.com,-1651623197,Average,True
Bob,Brown,32.48454882571075,Finance-Texas,Active,65304.66,bob.brown@example.com,-1898471390,Excellent,True
Alice,Jones,32.48454882571075,Admin-Nevada,Pending,88145.9,alice.jones@example.com,-5596363211,Good,True
Eva,Davis,25.0,Admin-Nevada,Inactive,69450.99,eva.davis@example.com,-3476490784,Good,True
Frank,Williams,25.0,Cloud Tech-Florida,Active,109324.61,frank.williams@example.com,-1586734256,Poor,False
Alice,Garcia,40.0,Sales-Texas,Inactive,88642.84,alice.garcia@example.com,-5409003485,Good,False
Frank,Jones,32.48454882571075,Admin-Nevada,Active,96288.43,frank.jones@example.com,-4518376063,Good,False
Bob,Jones,30.0,Cloud Tech-Florida,Inactive,94497.91,bob.jones@example.com,-4134327559,Average,True
Frank,Davis,35.0,Admin-Nevada,Inactive,115565.82,frank.davis@example.com,-4177656123,Excellent,True
Charlie,Johnson,32.48454882571075,DevOps-New York,Active,76561.88,charlie.johnson@example.com,-8156985699,Excellent,True
David,Williams,35.0,Cloud Tech-New York,Active,72081.71,david.williams@example.com,-2720634590,Average,False
David,Davis,32.48454882571075,DevOps-California,Active,84946.19,david.davis@example.com,-1238296576,Poor,True
Heidi,Williams,30.0,HR-New York,Active,89295.77,heidi.williams@example.com,-2429543164,Excellent,False
Grace,Williams,32.48454882571075,Finance-California,Active,85666.84,grace.williams@example.com,-2669300892,Good,False
Alice,Garcia,25.0,Admin-Nevada,Active,97633.68,alice.garcia@example.com,-1734206968,Excellent,True
Grace,Jones,40.0,Sales-Florida,Pending,117975.49,grace.jones@example.com,-4215291085,Good,True
Alice,Brown,25.0,DevOps-Illinois,Inactive,94867.33,alice.brown@example.com,-7713334475,Poor,False
Grace,Garcia,30.0,Finance-Texas,Pending,100377.65,grace.garcia@example.com,-2639343625,Average,True
Charlie,Garcia,32.48454882571075,Cloud Tech-Nevada,Inactive,94726.46,charlie.garcia@example.com,-2044397358,Excellent,False
Charlie,Williams,35.0,Admin-Illinois,Pending,91926.12,charlie.williams@example.com,-7107256365,Average,True
Bob,Miller,35.0,HR-New York,Active,111460.67,bob.miller@example.com,-9411800536,Excellent,True
Bob,Jones,40.0,Cloud Tech-Illinois,Active,96182.56,bob.jones@example.com,-5990048963,Good,False
Charlie,Johnson,35.0,Sales-Illinois,Inactive,115023.94,charlie.johnson@example.com,-6528092427,Average,True
David,Garcia,35.0,Finance-Nevada,Pending,80667.01,david.garcia@example.com,-7572158623,Excellent,False
Bob,Brown,30.0,Admin-Texas,Inactive,91181.61,bob.brown@example.com,-1502745643,Good,True
David,Miller,25.0,Cloud Tech-Nevada,Pending,66025.92,david.miller@example.com,-9485625727,Average,False
Frank,Miller,25.0,Sales-New York,Inactive,83979.01,frank.miller@example.com,-7032032073,Average,False
Heidi,Johnson,30.0,Finance-Florida,Active,56785.16,heidi.johnson@example.com,-2761707586,Excellent,True
Grace,Garcia,40.0,Finance-Nevada,Active,95741.88,grace.garcia@example.com,-7712151341,Excellent,False
Alice,Brown,40.0,DevOps-California,Active,63411.31,alice.brown@example.com,-2849939088,Excellent,True
Charlie,Jones,40.0,Admin-California,Inactive,111214.02,charlie.jones@example.com,-2613715040,Good,True
Bob,Smith,25.0,DevOps-Illinois,Active,114845.69,bob.smith@example.com,-6591520176,Excellent,True
Charlie,Brown,40.0,Finance-Florida,Active,78072.82,charlie.brown@example.com,-7490509758,Average,False
Grace,Johnson,25.0,Finance-California,Inactive,79610.52,grace.johnson@example.com,-2304501895,Average,False
Heidi,Miller,30.0,Admin-California,Active,90542.62,heidi.miller@example.com,-1642361031,Excellent,True
Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,114357.1,frank.jones@example.com,-6642147648,Excellent,True
Alice,Brown,32.48454882571075,Cloud Tech-New York,Active,54757.26,alice.brown@example.com,-2515837766,Poor,False
Grace,Smith,25.0,Sales-New York,Pending,52781.92,grace.smith@example.com,-4996165925,Average,True
Frank,Smith,35.0,Admin-Nevada,Pending,66708.02,frank.smith@example.com,-6108573277,Good,True
Eva,Williams,40.0,HR-Texas,Active,93481.15,eva.williams@example.com,-8147617421,Poor,False
Bob,Williams,25.0,Sales-New York,Pending,59271.96,bob.williams@example.com,-4386490809,Excellent,True
Bob,Davis,30.0,HR-California,Active,108362.15,bob.davis@example.com,-8186617944,Excellent,False
Alice,Johnson,32.48454882571075,HR-Nevada,Active,59400.38,alice.johnson@example.com,-4918017225,Average,True
Bob,Garcia,32.48454882571075,Admin-California,Inactive,64744.08,bob.garcia@example.com,-164597793,Excellent,False
Eva,Brown,32.48454882571075,Finance-California,Active,94399.91,eva.brown@example.com,-5232194167,Good,True
Alice,Brown,25.0,HR-New York,Pending,61310.74,alice.brown@example.com,-61027768,Average,True
Grace,Garcia,32.48454882571075,Cloud Tech-Texas,Active,98371.37,grace.garcia@example.com,-7499564121,Excellent,False
Alice,Davis,35.0,Sales-Illinois,Active,58921.19,alice.davis@example.com,-310303722,Average,True
Alice,Miller,35.0,Admin-Nevada,Active,57195.55,alice.miller@example.com,-6831472759,Excellent,False
Grace,Miller,32.48454882571075,DevOps-New York,Active,61375.12,grace.miller@example.com,-1227770792,Excellent,True
Charlie,Davis,40.0,Cloud Tech-New York,Pending,104767.05,charlie.davis@example.com,-3496050165,Excellent,False
David,Miller,35.0,Admin-Nevada,Active,111051.67,david.miller@example.com,-7998407677,Good,False
David,Williams,30.0,Finance-California,Inactive,105674.18,david.williams@example.com,-9973080694,Good,False
Alice,Brown,30.0,Finance-California,Inactive,54859.45,alice.brown@example.com,-8146717956,Average,False
Frank,Davis,32.48454882571075,Finance-Nevada,Pending,115746.6,frank.davis@example.com,-6024375737,Excellent,True
Eva,Brown,30.0,Sales-California,Active,91759.99,eva.brown@example.com,-3959724664,Excellent,True
Frank,Garcia,40.0,Sales-Illinois,Active,112965.33,frank.garcia@example.com,-7293417222,Good,False
Alice,Smith,40.0,Cloud Tech-Illinois,Pending,100360.1,alice.smith@example.com,-2971674337,Excellent,False
David,Williams,35.0,Finance-Texas,Pending,93620.88,david.williams@example.com,-54522800,Good,False
Bob,Jones,35.0,Sales-California,Pending,72832.8,bob.jones@example.com,-5619318373,Excellent,True
Charlie,Williams,30.0,Finance-Nevada,Inactive,102369.42,charlie.williams@example.com,-5508428909,Average,True
Eva,Davis,40.0,Sales-Texas,Inactive,64712.79,eva.davis@example.com,-7711991807,Excellent,True
Frank,Jones,40.0,Finance-Florida,Pending,85782.18,frank.jones@example.com,-1213524786,Excellent,True
Charlie,Smith,25.0,HR-Illinois,Pending,93348.26,charlie.smith@example.com,-1255213759,Poor,False
David,Davis,35.0,Admin-New York,Active,53234.96,david.davis@example.com,-3754821455,Good,False
Bob,Johnson,40.0,Finance-Nevada,Pending,100284.21,bob.johnson@example.com,-5328632665,Excellent,False
Grace,Brown,30.0,Admin-Nevada,Pending,112486.19,grace.brown@example.com,-7850720810,Excellent,True
Bob,Smith,40.0,Admin-New York,Pending,82518.49,bob.smith@example.com,-5562606028,Poor,True
Bob,Brown,40.0,Admin-Florida,Pending,119152.47,bob.brown@example.com,-846684549,Poor,True
Heidi,Miller,32.48454882571075,DevOps-Illinois,Inactive,113479.83,heidi.miller@example.com,-4892673898,Good,False
Charlie,Johnson,40.0,Finance-California,Active,94636.3,charlie.johnson@example.com,-7563410855,Poor,False
Heidi,Johnson,30.0,HR-Florida,Active,70000.97,heidi.johnson@example.com,-2884318847,Average,True
Frank,Smith,32.48454882571075,Cloud Tech-New York,Active,76812.47,frank.smith@example.com,-5200894345,Poor,False
David,Johnson,25.0,Finance-Florida,Inactive,82614.7,david.johnson@example.com,-8105485100,Average,True
Grace,Jones,40.0,Sales-Nevada,Active,111645.97,grace.jones@example.com,-7490753997,Good,True
Heidi,Johnson,25.0,HR-California,Inactive,112414.91,heidi.johnson@example.com,-9354492682,Good,False
