First_Name,Last_Name,Age,Department_Region,Status,Salary,Phone,Performance_Score,Remote_Work
Bob,Davis,25.0,DevOps-California,Active,59767.65,-1651623197,Average,True
Bob,Brown,32.48454882571075,Finance-Texas,Active,65304.66,-1898471390,Excellent,True
Alice,Jones,32.48454882571075,Admin-Nevada,Pending,88145.9,-5596363211,Good,True
Eva,Davis,25.0,Admin-Nevada,Inactive,69450.99,-3476490784,Good,True
Frank,Williams,25.0,Cloud Tech-Florida,Active,109324.61,-1586734256,Poor,False
Alice,Garcia,40.0,Sales-Texas,Inactive,88642.84,-5409003485,Good,False
Frank,Jones,32.48454882571075,Admin-Nevada,Active,96288.43,-4518376063,Good,False
Bob,Jones,30.0,Cloud Tech-Florida,Inactive,94497.91,-4134327559,Average,True
Frank,Davis,35.0,Admin-Nevada,Inactive,115565.82,-4177656123,Excellent,True
Charlie,Johnson,32.48454882571075,DevOps-New York,Active,76561.88,-8156985699,Excellent,True
David,Williams,35.0,Cloud Tech-New York,Active,72081.71,-2720634590,Average,False
David,Davis,32.48454882571075,DevOps-California,Active,84946.19,-1238296576,Poor,True
Heidi,Williams,30.0,HR-New York,Active,89295.77,-2429543164,Excellent,False
Grace,Williams,32.48454882571075,Finance-California,Active,85666.84,-2669300892,Good,False
Alice,Garcia,25.0,Admin-Nevada,Active,97633.68,-1734206968,Excellent,True
Grace,Jones,40.0,Sales-Florida,Pending,117975.49,-4215291085,Good,True
Alice,Brown,25.0,DevOps-Illinois,Inactive,94867.33,-7713334475,Poor,False
Grace,Garcia,30.0,Finance-Texas,Pending,100377.65,-2639343625,Average,True
Charlie,Garcia,32.48454882571075,Cloud Tech-Nevada,Inactive,94726.46,-2044397358,Excellent,False
Charlie,Williams,35.0,Admin-Illinois,Pending,91926.12,-7107256365,Average,True
Bob,Miller,35.0,HR-New York,Active,111460.67,-9411800536,Excellent,True
Bob,Jones,40.0,Cloud Tech-Illinois,Active,96182.56,-5990048963,Good,False
Charlie,Johnson,35.0,Sales-Illinois,Inactive,115023.94,-6528092427,Average,True
David,Garcia,35.0,Finance-Nevada,Pending,80667.01,-7572158623,Excellent,False
Bob,Brown,30.0,Admin-Texas,Inactive,91181.61,-1502745643,Good,True
David,Miller,25.0,Cloud Tech-Nevada,Pending,66025.92,-9485625727,Average,False
Frank,Miller,25.0,Sales-New York,Inactive,83979.01,-7032032073,Average,False
Heidi,Johnson,30.0,Finance-Florida,Active,56785.16,-2761707586,Excellent,True
Grace,Garcia,40.0,Finance-Nevada,Active,95741.88,-7712151341,Excellent,False
Alice,Brown,40.0,DevOps-California,Active,63411.31,-2849939088,Excellent,True
Charlie,Jones,40.0,Admin-California,Inactive,111214.02,-2613715040,Good,True
Bob,Smith,25.0,DevOps-Illinois,Active,114845.69,-6591520176,Excellent,True
Charlie,Brown,40.0,Finance-Florida,Active,78072.82,-7490509758,Average,False
Grace,Johnson,25.0,Finance-California,Inactive,79610.52,-2304501895,Average,False
Heidi,Miller,30.0,Admin-California,Active,90542.62,-1642361031,Excellent,True
Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,114357.1,-6642147648,Excellent,True
Alice,Brown,32.48454882571075,Cloud Tech-New York,Active,54757.26,-2515837766,Poor,False
Grace,Smith,25.0,Sales-New York,Pending,52781.92,-4996165925,Average,True
Frank,Smith,35.0,Admin-Nevada,Pending,66708.02,-6108573277,Good,True
Eva,Williams,40.0,HR-Texas,Active,93481.15,-8147617421,Poor,False
Bob,Williams,25.0,Sales-New York,Pending,59271.96,-4386490809,Excellent,True
Bob,Davis,30.0,HR-California,Active,108362.15,-8186617944,Excellent,False
Alice,Johnson,32.48454882571075,HR-Nevada,Active,59400.38,-4918017225,Average,True
Bob,Garcia,32.48454882571075,Admin-California,Inactive,64744.08,-164597793,Excellent,False
Eva,Brown,32.48454882571075,Finance-California,Active,94399.91,-5232194167,Good,True
Alice,Brown,25.0,HR-New York,Pending,61310.74,-61027768,Average,True
Grace,Garcia,32.48454882571075,Cloud Tech-Texas,Active,98371.37,-7499564121,Excellent,False
Alice,Davis,35.0,Sales-Illinois,Active,58921.19,-310303722,Average,True
Alice,Miller,35.0,Admin-Nevada,Active,57195.55,-6831472759,Excellent,False
Grace,Miller,32.48454882571075,DevOps-New York,Active,61375.12,-1227770792,Excellent,True
Charlie,Davis,40.0,Cloud Tech-New York,Pending,104767.05,-3496050165,Excellent,False
David,Miller,35.0,Admin-Nevada,Active,111051.67,-7998407677,Good,False
